time,phase,target_x,target_y,target_z,drone_x,drone_y,drone_z
6.659997,TAU,1307.028,6.888207,1155.06,1306.103,6.614828,1155.651
6.679997,TAU,1307.028,6.888207,1155.06,1306.141,6.627784,1155.628
6.699997,TAU,1307.028,6.888207,1155.06,1306.178,6.640459,1155.605
6.719997,TAU,1306.996,6.801251,1155.06,1306.215,6.652849,1155.582
6.739997,TAU,1306.996,6.801251,1155.06,1306.253,6.664982,1155.559
6.759997,TAU,1306.963,6.715129,1155.06,1306.29,6.67644,1155.536
6.779998,TAU,1306.963,6.715129,1155.06,1306.327,6.687195,1155.512
6.799998,TAU,1306.963,6.715129,1155.06,1306.365,6.696829,1155.489
6.819998,TAU,1306.929,6.629838,1155.06,1306.402,6.705378,1155.466
6.839998,TAU,1306.929,6.629838,1155.06,1306.439,6.712915,1155.443
6.859998,TAU,1306.895,6.545375,1155.06,1306.476,6.719119,1155.42
6.879998,TAU,1306.895,6.545375,1155.06,1306.512,6.724113,1155.396
6.899998,TAU,1306.895,6.545375,1155.06,1306.548,6.727677,1155.374
6.919998,TAU,1306.861,6.461739,1155.06,1306.584,6.730005,1155.351
6.939998,TAU,1306.861,6.461739,1155.06,1306.619,6.731333,1155.328
6.959998,TAU,1306.826,6.378922,1155.06,1306.652,6.731522,1155.307
6.979998,TAU,1306.826,6.378922,1155.06,1306.685,6.730742,1155.285
6.999998,TAU,1306.826,6.378922,1155.06,1306.716,6.728857,1155.264
7.019998,TAU,1306.791,6.296925,1155.06,1306.746,6.725979,1155.244
7.039998,TAU,1306.791,6.296925,1155.06,1306.773,6.7222,1155.224
7.059998,TAU,1306.755,6.215742,1155.06,1306.799,6.717353,1155.205
7.079998,TAU,1306.755,6.215742,1155.06,1306.823,6.711446,1155.187
7.099998,TAU,1306.755,6.215742,1155.06,1306.844,6.704309,1155.17
7.119998,TAU,1306.719,6.135371,1155.06,1306.864,6.695909,1155.154
7.139997,TAU,1306.719,6.135371,1155.06,1306.88,6.686201,1155.139
7.159997,TAU,1306.682,6.055807,1155.06,1306.895,6.675022,1155.125
7.179997,TAU,1306.682,6.055807,1155.06,1306.906,6.662337,1155.112
7.199997,TAU,1306.682,6.055807,1155.06,1306.916,6.648033,1155.101
7.219997,TAU,1306.645,5.977047,1155.06,1306.922,6.63202,1155.09
